Position,Company,Location,URL
2023년 KB국민카드 ICT부문의 전체 세부 정보,KB국민카드,서울 종로구,https://kr.indeed.com/{link}
각 부문별의 전체 세부 정보,두나무,서울 강남구,https://kr.indeed.com/{link}
라인프렌즈[IPX] 2022년 각 부문 수시의 전체 세부 정보,IPX,서울 용산구,https://kr.indeed.com/{link}
그룹공동 마이데이터 분석 플랫폼(데이터분석가)의 전체 세부 정보,KB데이타시스템,서울 마포구,https://kr.indeed.com/{link}
[양재역] 데이터분석(석박사급 R Python Matlab)의 전체 세부 정보,시니어앤파트너즈,서울 서초구,https://kr.indeed.com/{link}
비즈니스 데이터 분석가 (Business Data Analyst) 영입의 전체 세부 정보,카카오페이,성남 분당구,https://kr.indeed.com/{link}
데이터분석 신입/경력 정규직의 전체 세부 정보,블록스퀘어서울,서울 서초구,https://kr.indeed.com/{link}
인공지능(AI) 기술 개발(신입)의 전체 세부 정보,(주)RGA Inc.,서울 강남역,https://kr.indeed.com/{link}
파이썬 개발자 초중급 이상의 전체 세부 정보,데이터앤솔루션,서울 서초구,https://kr.indeed.com/{link}
Python Backend Engineer의 전체 세부 정보,두나무,서울 강남구,https://kr.indeed.com/{link}
2023년 DIgital Lab 전문계약직 상시의 전체 세부 정보,GS칼텍스,서울 강남구,https://kr.indeed.com/{link}
[메이저 금융그룹 연구소] Data Scientist 경력직 연구원 포지션의 전체 세부 정보,메이저 금융그룹 연구소,서울,https://kr.indeed.com/{link}
[NAVER Z] 데이터 엔지니어의 전체 세부 정보,네이버제트,성남 분당구,https://kr.indeed.com/{link}
Battery DT혁신 경력의 전체 세부 정보,에스케이온,서울 종로구,https://kr.indeed.com/{link}
2023년 3월 롯데정보통신 경력사원의 전체 세부 정보,롯데정보통신,서울 금천구,https://kr.indeed.com/{link}
파이썬 개발자 초중급 이상의 전체 세부 정보,데이터앤솔루션,서울 서초구,https://kr.indeed.com/{link}
비즈니스 데이터 분석가 (Business Data Analyst) 영입의 전체 세부 정보,카카오페이,성남 분당구,https://kr.indeed.com/{link}
2023년 상반기 백엔드 개발자의 전체 세부 정보,반달소프트,성남 분당구,https://kr.indeed.com/{link}
디지털 자산 리서치 인턴의 전체 세부 정보,두나무,서울 강남구,https://kr.indeed.com/{link}
[선릉역] 서버개발 백엔드(앱 웹 AWS Python)의 전체 세부 정보,시니어앤파트너즈,서울 강남구,https://kr.indeed.com/{link}
데이터마이닝  인공지능(AI) 외 경력의 전체 세부 정보,루벤티스,서울 강남구,https://kr.indeed.com/{link}
2023년 메타버스 아카데미 2기 교육생의 전체 세부 정보,한국전파진흥협회,성남 분당구,https://kr.indeed.com/{link}
[SAPEON Korea] Frontend Compiler Engineer의 전체 세부 정보,사피온코리아,성남 분당구,https://kr.indeed.com/{link}
[ULVAC] 한국알박(주) 2023년 R&D부문 신입/경력의 전체 세부 정보,한국알박,성남 분당구,https://kr.indeed.com/{link}
Python 분석 인원 정규직 채용의 전체 세부 정보,(주)스마트모빌러티 관심기업,서울 휘경동,https://kr.indeed.com/{link}
Machine Learning R&D 연구원의 전체 세부 정보,카이어,서울 서초구,https://kr.indeed.com/{link}
백엔드 엔지니어 (Python/Javascript)의 전체 세부 정보,시스메틱,서울 영등포구,https://kr.indeed.com/{link}
웹개발  백엔드 외 신입/경력 정규직의 전체 세부 정보,코인챗,서울 강남구,https://kr.indeed.com/{link}
디지털 자산 리서치 인턴의 전체 세부 정보,Dunamu,서울,https://kr.indeed.com/{link}
Battery DT혁신 경력의 전체 세부 정보,에스케이온,서울 종로구,https://kr.indeed.com/{link}
